,Bor,Nei,lat,log
190,Etobicoke,Bloordale Gardens,43.6353169,-79.5636744
191,Etobicoke,Eringate,43.6622732,-79.5765162
192,Etobicoke,Markland Wood,43.6312379,-79.5854368
193,Etobicoke,Old Burnhamthorpe,43.6393732,-79.5843869
194,North York,Humber Summit,43.7600778,-79.5717598
195,North York,Emery,43.7520744,-79.5423657
196,North York,Humberlea,43.7213166,-79.5331605
197,York,Weston,43.7001608,-79.5162474
198,Etobicoke,Westmount,43.6936399,-79.5210426
199,Etobicoke,Kingsview Village,43.6995391,-79.5563459
200,Etobicoke,Martin Grove Gardens,43.6873105,-79.561967
201,Etobicoke,Richview Gardens,43.6848335,-79.5482883
202,Etobicoke,St. Phillips,43.7000483,-79.5437651
203,Etobicoke,Albion Gardens,43.70011,-79.4163
204,Etobicoke,Beaumond Heights,43.70011,-79.4163
205,Etobicoke,Humbergate,43.7285296,-79.6062403
206,Etobicoke,Jamestown,43.6714591,-79.5524921
207,Etobicoke,Mount Olive,43.6714591,-79.5524921
208,Etobicoke,Silverstone,43.738091,-79.5957388
209,Etobicoke,South Steeles,43.7596312,-79.5900666
210,Etobicoke,Thistletown,43.7372656,-79.5653169
211,Etobicoke,Northwest,43.6714591,-79.5524921
